date,temp_c,rainfall_mm,humidity_percent
2026-08-01,29.27777777777778,30.733999999999998,64.0
2026-08-03,26.6,40.894,
2026-08-05,29.77777777777778,0.0,50.0
2026-08-06,20.1,-45.2,32.0
2026-08-08,32.547222222222224,59.416000000000004,71.33333333333333
2026-08-09,21.63888888888889,54.2,32.0
2026-08-10,17.72222222222222,-2.4,
2026-08-12,31.4,43.18,
2026-08-13,28.277777777777782,23.5,61.0
2026-08-17,31.27777777777778,22.098,49.0
2026-08-19,32.13333333333333,64.6,33.0
2026-08-22,29.5,-34.4,38.0
2026-08-23,25.0,-2.095999999999999,52.0
2026-08-24,30.6,37.0,42.0
2026-08-25,30.25,81.1,75.5
2026-08-26,34.6,34.9,89.0
2026-08-27,20.7,49.1,
2026-08-28,23.46666666666667,107.55399999999999,38.0
2026-08-30,24.0,13.462,73.0
2026-08-31,28.61111111111111,27.326,63.0
2026-09-02,15.3,24.7,95.0
2026-09-03,19.54074074074074,32.094,59.666666666666664
2026-09-06,23.3,45.974000000000004,59.0
2026-09-07,20.3,26.8,73.0
2026-09-08,31.7,79.24799999999999,93.0
2026-09-09,25.0,12.191999999999998,30.0
