trip_id,date,mandi_id,destination_warehouse,transit_hours,distance_km,vehicle_no,driver_id
TRP008180,,mandi_021,Export-Terminal,4.5,199.5,UP83AB2103,DRV524
TRP001122,,MANDI011,WH-South,16.9,819.7,RJ78BC1965,DRV222
TRP001218,,052,Export-Terminal,5.9,271.6,RJ41DF2783,DRV825
TRP004111,2026-08-05,mandi_032,WH-North,8.7,520.4,RJ87CD3403,DRV733
TRP008942,,mandi_021,Export-Terminal,16.7,850.8,PB98DF3830,DRV786
TRP000305,,MANDI026,Export-Terminal,7.6,422.6,HR20CD6378,DRV161
TRP000624,,MANDI048,Export-Terminal,8.3,417.5,,DRV190
TRP007782,,MANDI024,WH-South,8.8,504.49858999313,RJ72AB5979,DRV685
TRP002486,,MANDI025,WH-Central,,503.0,HR58AB7983,DRV608
TRP003291,,MANDI023,WH-North,16.6,766.0,PB51CD7947,DRV432
TRP006819,2026-07-23,MANDI048,WH-South,11.1,446.2,DL38BC6694,DRV485
TRP001278,,mandi_022,WH-Central,4.8,262.2,HR94DF4063,DRV934
TRP001902,,MANDI028,Export-Terminal,18.6,1020.6,UP34DF9243,DRV421
TRP000440,,MANDI054,WH-North,21.4,1016.8,UP50AB4159,DRV162
TRP007232,,MANDI038,WH-South,16.5,842.6,,DRV709
TRP002456,,M016,WH-East,3.0,164.3,DL30BC8601,
TRP002904,,mandi007,WH-South,10.2,524.1,RJ55BC3913,DRV357
TRP008945,,mandi_018,WH-Central,20.6,982.2972546090219,PB83DF9790,DRV893
TRP006235,,MANDI031,WH-South,,364.3,HR69AB7486,
TRP006410,,MANDI-049,WH-West,,973.7,PB73BC6200,DRV302
TRP001922,2026-03-21,MANDI045,WH-North,7.2,297.1,HR67CD4681,DRV547
TRP006686,,M051,Export-Terminal,20.0,1007.1,PB13DF2493,
TRP005144,,M032,WH-South,12.5,644.4,RJ28DF3707,DRV628
TRP004697,2026-08-16,MANDI044,Export-Terminal,23.8,999.6972059784581,DL52BC1440,DRV361
TRP001632,,M027,WH-West,11.9,592.1,UP24CD4874,DRV886
TRP007839,,M056,WH-Central,14.8,794.7,DL17DF2064,DRV560
TRP003384,,MANDI-052,Export-Terminal,19.6,1021.5,RJ44CD5651,
TRP002610,,mandi017,Export-Terminal,8.4,479.5,,
TRP005169,,MANDI025,Export-Terminal,,343.0,UP31CD6120,DRV353
TRP007891,,MANDI023,WH-North,17.6,905.9,HR94CD1203,DRV937
TRP001248,,mandi029,WH-South,,1018.2,HR49DF9523,DRV507
TRP008234,,MANDI054,WH-South,6.4,354.5,UP77BC2470,DRV735
TRP006454,,MANDI-019,WH-South,20.6,1196.596655670524,DL39BC7294,
TRP002031,,MANDI-057,WH-South,,185.9,RJ30DF3879,DRV891
TRP007504,,MANDI043,Export-Terminal,19.6,914.9,UP78AB5221,DRV629
TRP003195,,MANDI023,WH-South,23.7,1160.4,UP55CD7932,
TRP006585,,mandi037,WH-West,,216.5,,DRV203
TRP005072,2026-06-02,MANDI-033,WH-West,7.9,378.4,,
TRP001684,,mandi023,WH-South,,852.2,PB27BC9556,DRV142
TRP005282,,047,WH-East,22.8,1355.3962118467562,DL86BC3753,DRV801
TRP002702,,MANDI021,WH-East,18.7,1052.5,DL36CD4633,DRV980
TRP005728,,MANDI003,WH-Central,4.1,217.4,PB53AB1832,DRV811
TRP006775,,mandi039,WH-West,14.9,753.5,RJ27AB2586,DRV100
TRP003747,,MANDI044,WH-West,17.6,710.0,UP62CD7472,DRV268
TRP007389,,mandi_002,WH-East,14.1,796.1,HR28AB1975,DRV770
TRP008483,,MANDI029,WH-East,9.5,466.1,HR28BC5774,DRV713
TRP002933,,mandi057,WH-South,10.1,445.6,DL23AB5218,DRV564
TRP005382,,MANDI055,WH-Central,5.2,294.0,HR81AB3126,DRV461
TRP004003,,MANDI-019,WH-South,19.8,840.2,RJ14BC6388,DRV158
TRP006097,,M018,WH-East,22.8,1100.8,UP13BC5242,
TRP008343,,MANDI038,WH-West,10.0,474.198674677388,RJ36BC7540,DRV350
TRP005897,2026-02-28,mandi_055,WH-East,7.7,445.7,HR20DF4433,DRV311
TRP002517,,mandi030,WH-East,,734.4,RJ46BC3812,DRV863
TRP008025,,MANDI057,WH-South,20.9,1010.3,DL69AB5694,DRV331
TRP002479,2026-03-18,MANDI056,WH-North,14.0,825.5,UP20AB6931,
TRP008311,,M008,WH-East,,906.1,,DRV132
TRP004149,2026-05-04,MANDI028,WH-West,22.2,948.0,PB14CD6880,DRV298
TRP005734,,MANDI034,WH-South,10.8,521.1,UP88CD9876,DRV770
TRP007377,,MANDI013,WH-Central,20.9,1005.3,UP77AB5053,DRV676
TRP007332,,M047,WH-Central,21.6,916.2974390697818,RJ37BC7009,DRV210
TRP004831,2026-07-01,MANDI036,WH-South,6.0,332.5,DL85DF2318,
TRP007838,,MANDI-040,WH-Central,6.0,318.5,RJ55AB5201,DRV518
TRP003466,,MANDI031,WH-North,10.9,556.2,,DRV696
TRP000322,,mandi_003,Export-Terminal,10.9,449.3,PB49CD8480,
TRP005366,,M003,WH-West,14.4,712.2,RJ42AB5114,DRV803
TRP001079,2026-02-03,M031,Export-Terminal,19.1,916.9,UP25DF6185,DRV847
TRP007640,,MANDI033,WH-Central,19.5,809.5,RJ10CD5947,DRV760
TRP003704,,MANDI024,WH-West,24.0,1107.0,RJ86DF4314,DRV549
TRP002349,,MANDI023,WH-West,22.3,1100.1,DL35DF7496,DRV600
TRP004130,,M004,WH-North,16.8,849.3,DL34CD8559,DRV997
TRP001435,,MANDI039,WH-South,13.2,567.6,RJ30AB1006,DRV870
TRP001057,,mandi043,WH-North,,943.2,RJ99AB1741,DRV234
TRP008696,,MANDI036,WH-South,11.1,528.5985226370041,HR95BC2138,DRV224
TRP001719,,MANDI-009,WH-West,6.4,359.0,PB91BC9566,DRV588
TRP008628,,MANDI051,WH-South,16.7,724.0,,DRV334
TRP002693,,mandi_019,Export-Terminal,8.5,488.8,PB51AB8653,DRV840
TRP003756,,MANDI029,WH-Central,18.1,747.9,UP34AB2673,DRV936
TRP006713,,MANDI020,WH-Central,,219.9,,DRV126
TRP009529,,MANDI018,WH-North,13.8,554.2,UP28AB4703,DRV905
TRP004075,,MANDI055,WH-North,4.0,195.9,PB24CD7831,
TRP001524,2026-01-06,M045,WH-East,21.3,1113.6,DL31CD6863,DRV534
TRP004813,,MANDI-054,WH-Central,18.7,806.7,PB11DF2696,DRV854
TRP008502,,mandi_053,WH-West,2.9,168.9,HR82AB7567,DRV177
TRP006962,,M046,WH-Central,,587.198358858208,PB68BC3755,DRV855
TRP003017,,mandi_038,WH-South,,117.199672442408,RJ71BC9641,DRV798
TRP006884,,mandi_030,WH-South,6.3,278.79922079303196,PB71AB2643,DRV676
TRP007840,,MANDI035,WH-Central,13.5,706.9,RJ26BC2844,
TRP009542,,MANDI-002,Export-Terminal,2.0,115.599676914184,DL81DF3115,DRV551
TRP001884,,mandi030,WH-North,17.4,770.3,,DRV479
TRP005466,,MANDI019,WH-South,6.9,292.5,PB59AB3758,
TRP006329,,mandi052,WH-West,,1184.196690326788,RJ54BC7562,DRV288
TRP005099,,MANDI034,Export-Terminal,,248.1,DL82BC9183,DRV844
TRP009230,,MANDI030,WH-Central,10.6,483.7,RJ82BC3304,DRV233
TRP004158,,MANDI-048,WH-East,8.6,363.2,HR52DF4502,
TRP006301,,mandi_053,WH-East,10.5,472.6,RJ24BC4641,
TRP004614,,MANDI054,WH-North,,479.9,UP62AB1484,
TRP008599,,mandi_056,WH-Central,16.1,861.897591110166,RJ97CD4878,DRV953
TRP003022,,MANDI001,WH-South,9.1,488.3,PB14BC6897,DRV839
TRP008251,,MANDI-057,WH-North,5.4,216.1,HR86BC4485,DRV131
TRP006114,,mandi_051,WH-South,14.8,657.8,PB39DF3011,DRV929
TRP000120,,MANDI-023,WH-South,18.0,745.2979169908419,PB72CD4744,DRV212
TRP006830,,MANDI041,WH-Central,23.7,1237.2,UP63CD8038,DRV907
TRP003464,2026-07-07,MANDI010,WH-South,4.4,196.899449692066,HR90BC1367,DRV976
TRP001459,,MANDI042,Export-Terminal,5.0,275.2,UP51AB4994,DRV547
TRP009534,,MANDI020,WH-North,,726.3,UP17DF8204,DRV273
TRP001407,,mandi034,WH-North,5.3,282.5,,DRV657
TRP000488,,002,WH-South,14.3,667.9,UP15BC9825,DRV395
TRP006327,,mandi_056,WH-West,16.9,753.7,,DRV187
TRP002887,,001,Export-Terminal,20.2,1173.0,PB35DF1300,
TRP002146,,MANDI044,WH-North,12.8,566.8,UP36BC4306,DRV521
TRP003521,,MANDI045,WH-Central,11.2,515.6,PB89AB7373,DRV178
TRP006637,,MANDI-008,WH-West,5.9,353.0,DL74DF3326,DRV150
TRP007248,,mandi_057,WH-East,,226.4,RJ34BC7142,DRV404
TRP007820,,MANDI010,WH-East,13.7,585.1983644479279,PB25AB9316,
TRP000519,,mandi_040,WH-South,18.8,1043.2,RJ15DF1359,DRV555
TRP001112,,MANDI-032,WH-West,10.9,613.2,UP16AB6019,DRV205
TRP001685,,MANDI049,WH-South,16.8,732.3,HR82DF6289,DRV937
TRP000736,2026-03-03,MANDI042,WH-East,13.9,704.7980301826719,PB57CD6077,
TRP004615,,mandi042,WH-South,20.9,1032.1,DL84AB8674,DRV789
TRP004084,,MANDI001,WH-South,8.8,452.6,HR52DF7826,DRV766
TRP009966,,MANDI028,Export-Terminal,,118.8,PB15BC5519,DRV863
TRP002329,2026-04-28,MANDI-010,WH-North,2.7,108.4,,DRV254
TRP000544,,MANDI004,Export-Terminal,,544.4,RJ14AB8168,
TRP005796,2026-08-17,049,WH-East,7.1,411.898848797166,DL19DF4113,DRV977
TRP006608,,mandi_019,WH-South,11.7,600.4,DL55DF9091,DRV508
TRP000488,,002,WH-South,14.3,667.9,UP15BC9825,DRV395
TRP001635,,mandi006,WH-Central,7.8,426.7,DL80CD4699,DRV140
TRP003356,,MANDI-051,WH-Central,5.4,309.9,HR43BC1036,DRV789
TRP009515,,MANDI-001,WH-West,5.3,266.199256008268,HR45CD4203,DRV955
TRP000097,,mandi028,WH-North,2.2,107.89969843460601,HR93AB3314,DRV749
TRP009204,,mandi_043,WH-South,5.4,288.6,HR27AB9993,DRV224
TRP006862,,MANDI026,WH-West,7.9,424.4,PB86CD1156,DRV777
TRP002677,,M009,WH-North,6.9,403.1,,DRV477
TRP003469,,MANDI008,WH-Central,14.7,778.7,HR70CD8407,DRV533
TRP009449,,mandi_046,WH-West,11.8,631.698234486938,DL29DF2005,DRV816
TRP003707,2026-03-24,MANDI007,WH-West,11.9,647.0,UP22BC1853,
TRP008198,,MANDI030,WH-Central,11.5,507.7,UP64AB2831,DRV935
TRP009669,,mandi_029,WH-East,,837.0,RJ25AB7223,DRV527
TRP007516,,MANDI-041,WH-North,8.8,410.7,DL10DF3873,DRV576
TRP003915,2026-06-04,MANDI-043,WH-North,4.9,227.0,UP47AB1312,DRV512
TRP008965,2026-04-18,MANDI006,WH-South,16.4,863.3,,DRV872
TRP005269,,MANDI-050,WH-North,23.4,1108.4,DL46AB2409,DRV893
TRP003232,,MANDI035,WH-West,22.4,1248.8,HR69BC9227,DRV280
TRP007270,,MANDI021,WH-South,,135.5,UP31CD1157,DRV923
TRP008433,,MANDI039,WH-Central,20.2,860.9,HR98AB9131,DRV585
TRP003101,,MANDI028,WH-North,,416.9,RJ77BC4125,
TRP006130,2026-02-24,MANDI009,WH-North,11.8,705.4,PB99DF2869,DRV290
TRP009418,,MANDI043,WH-North,23.0,924.2,PB55AB8232,DRV806
TRP006394,,MANDI016,WH-East,,153.3,PB94AB3631,DRV260
TRP005494,,mandi_003,WH-West,11.9,619.1,RJ60DF9853,DRV413
TRP006205,,MANDI-039,WH-North,5.8,258.3,PB86AB7987,DRV179
TRP009616,,M051,WH-East,,525.6,DL78AB6868,DRV956
TRP007350,2026-01-16,MANDI-030,WH-North,14.0,653.2981741179619,HR43AB3177,DRV634
TRP009335,,mandi_054,WH-South,15.3,788.0,,DRV942
TRP001661,,mandi014,WH-Central,22.8,1345.0,RJ70CD7285,DRV851
TRP000312,,MANDI042,WH-South,3.4,145.6,PB97CD9995,DRV232
TRP004420,,M005,Export-Terminal,6.6,365.1,RJ30DF8449,DRV678
TRP007227,,MANDI001,WH-West,,1185.5,DL98CD1437,DRV962
TRP000319,2026-07-13,MANDI028,Export-Terminal,9.3,552.9,,DRV934
TRP008577,,MANDI050,WH-East,18.3,1063.5,,DRV258
TRP004808,,M003,WH-East,3.3,171.099521799454,PB56BC9967,
TRP000304,,MANDI009,Export-Terminal,,754.3,DL58AB6314,DRV141
TRP003081,,MANDI043,WH-West,8.5,499.8,UP36AB2854,DRV844
TRP003060,,MANDI055,Export-Terminal,6.4,306.29914393438196,HR91BC6046,
TRP009629,,MANDI-053,WH-South,9.2,378.9,DL19DF8504,DRV373
TRP002361,,MANDI045,WH-North,4.5,194.19945723818802,PB18AB8135,
TRP002944,,mandi008,WH-South,,168.7,,DRV633
TRP003155,,mandi005,WH-Central,6.3,323.3,UP22AB1201,DRV871
TRP008046,,mandi008,WH-West,10.9,491.0,,DRV621
TRP000252,,MANDI047,WH-East,7.4,306.0,PB31AB3254,DRV278
TRP008060,,MANDI-050,Export-Terminal,9.7,442.59876299496403,UP47AB7817,DRV932
TRP002250,,M021,WH-Central,,775.5,PB67AB8204,
TRP008065,,055,WH-North,,422.4,HR29AB8045,DRV566
TRP006687,2026-08-03,MANDI023,Export-Terminal,21.8,1018.197154273548,HR60DF2469,DRV623
TRP004024,,MANDI032,WH-East,2.8,120.8,RJ67AB4617,DRV386
TRP003209,2026-03-24,MANDI018,WH-Central,18.5,763.6,DL33DF4260,DRV777
TRP005862,,MANDI-052,WH-East,5.5,293.2,HR90CD9189,DRV191
TRP001298,,mandi_018,WH-South,11.1,529.0,UP72AB8248,DRV630
TRP007883,2026-09-08,mandi033,Export-Terminal,10.2,602.6,,DRV519
TRP005759,,MANDI048,WH-North,19.4,828.1,PB34CD2716,DRV145
TRP004027,,MANDI014,WH-Central,19.0,1072.3,RJ66BC7691,DRV810
TRP000108,,MANDI035,WH-Central,8.8,483.2,RJ26BC7932,DRV885
TRP002841,,MANDI003,WH-East,19.5,1027.2,HR98AB5800,DRV381
TRP009560,,MANDI046,WH-West,,1051.2,RJ83BC5416,DRV274
TRP006844,,MANDI-015,Export-Terminal,14.1,610.298294296942,DL96AB4280,DRV619
TRP002246,,MANDI044,WH-North,8.7,448.89874538734597,HR81DF4186,DRV212
TRP004041,,MANDI025,WH-West,13.7,731.6,HR63AB1910,DRV284
TRP001596,,MANDI011,WH-Central,,517.1,DL46CD9142,DRV707
TRP006875,,MANDI013,WH-East,9.8,575.2,HR16CD5660,DRV354
TRP009624,,020,WH-Central,7.7,404.2,HR64CD2668,
TRP003003,,mandi_023,WH-West,18.2,778.2,DL83AB6304,DRV865
TRP006129,,MANDI036,WH-West,4.1,214.6,HR84BC6106,DRV472
TRP007055,,MANDI003,Export-Terminal,18.5,1098.1,HR78CD8558,DRV102
TRP001703,2026-03-10,MANDI-014,WH-South,23.9,1055.2,RJ39BC4007,DRV319
TRP001161,,MANDI023,WH-West,13.9,663.798144771932,HR41CD3809,DRV184
TRP009833,,MANDI024,WH-West,19.5,914.8,DL39CD2245,DRV655
TRP009655,,mandi_003,WH-South,20.1,837.0,UP43DF1156,DRV121
TRP005472,,mandi_025,WH-North,21.5,903.9,DL82DF5952,DRV362
TRP008264,2026-01-29,MANDI036,WH-Central,17.7,967.2,,DRV559
TRP001196,,MANDI-007,Export-Terminal,4.3,239.8,PB72DF4023,DRV785
TRP005738,,M042,Export-Terminal,22.0,928.2,UP92BC7233,
TRP002908,,MANDI012,WH-North,20.2,875.697552541098,HR16CD9454,DRV458
TRP004376,,mandi_043,WH-Central,12.6,515.1,RJ10AB8945,DRV467
TRP004583,,050,WH-West,12.6,549.1,HR87CD9151,DRV556
TRP003956,,MANDI013,WH-North,,1268.6,UP73BC6039,DRV631
TRP003818,,MANDI053,WH-South,7.6,438.6,,DRV568
TRP008833,,049,Export-Terminal,15.0,603.4983133019899,PB54DF6473,DRV155
TRP001077,,mandi_017,WH-South,21.6,1045.197078812328,UP11AB9603,
TRP004216,2026-04-26,MANDI012,WH-Central,19.8,1040.297092507142,DL32BC7624,DRV854
TRP001531,,M050,WH-West,3.8,169.29952683020198,UP21CD1137,
TRP007175,,mandi_024,WH-Central,8.2,333.4,UP49DF4317,DRV447
TRP004780,2026-02-13,MANDI041,WH-South,23.5,1275.7,UP94DF1403,DRV126
TRP004405,,MANDI-008,WH-South,,586.8,RJ51CD4343,DRV592
TRP004380,,MANDI038,WH-North,6.9,293.3,RJ87DF2909,DRV840
TRP006951,,MANDI011,WH-West,,1090.5,PB14CD6515,DRV382
TRP001733,,MANDI001,WH-East,,1239.5,HR58CD2976,DRV522
TRP005215,2026-07-01,MANDI006,WH-North,8.9,415.69883817669796,,DRV163
TRP002134,,MANDI005,Export-Terminal,21.4,1219.9,RJ26CD4437,DRV529
TRP007703,,MANDI014,WH-East,12.4,740.7,,DRV334
TRP000766,,M024,WH-East,4.4,242.8,DL68CD8432,DRV199
TRP000533,2026-04-17,MANDI039,Export-Terminal,,429.4,UP13AB6530,
TRP006011,,mandi056,WH-North,,500.9,RJ13AB9827,DRV380
TRP001184,,mandi_030,Export-Terminal,,354.899008104186,,DRV199
TRP007574,,MANDI031,WH-South,23.8,1359.4,PB92AB2298,DRV237
TRP005731,,M020,WH-Central,10.2,553.1,UP77BC5656,
TRP009421,,MANDI043,WH-North,,344.5,UP30BC8611,DRV111
TRP009744,,mandi_024,WH-North,19.1,934.9973868059001,HR96DF4413,DRV248
TRP002886,,MANDI035,WH-East,9.9,559.4,UP98BC8322,DRV151
TRP005268,,MANDI048,WH-West,8.4,364.8,DL74CD7835,DRV118
TRP005272,,mandi011,WH-North,4.3,225.4,DL54DF7078,
TRP006769,,MANDI051,WH-East,5.9,343.5,DL72AB2876,DRV357
TRP007597,,MANDI018,Export-Terminal,10.6,499.2,PB56AB3205,DRV221
TRP006598,,M005,WH-South,11.2,583.3,HR83BC2792,DRV833
TRP006848,2026-08-01,mandi_005,WH-South,15.2,720.6,PB58CD4996,
TRP008181,2026-04-24,MANDI008,WH-South,21.4,1136.8,PB68AB6563,DRV580
TRP002930,,MANDI017,WH-Central,21.8,1198.1,HR96AB8314,
TRP004393,,MANDI022,WH-East,11.8,613.9,DL10BC8577,DRV873
TRP002590,,mandi032,WH-East,22.4,1152.2,UP70BC7415,
TRP004673,2026-05-29,MANDI042,WH-North,13.2,743.7,UP63CD2890,DRV866
TRP004033,,M026,WH-West,,155.2,RJ21BC2365,
TRP009012,,034,WH-Central,2.4,99.4,UP34AB7431,DRV229
TRP002948,2026-04-28,MANDI030,WH-East,,1017.3,,DRV910
TRP004210,,mandi_043,WH-Central,22.2,981.9,,DRV891
TRP003108,,MANDI006,WH-East,12.5,585.2,RJ48AB1667,DRV931
TRP009579,,mandi_055,WH-South,13.9,734.7,HR39BC8224,
TRP004708,,MANDI-056,WH-South,15.8,740.5,,DRV406
TRP004721,,M011,WH-North,22.4,1004.2,,DRV698
TRP006443,,MANDI011,WH-North,12.2,577.798385129892,UP70DF5610,DRV429
TRP007399,,MANDI-018,WH-North,,1026.2971316351818,HR43AB2010,
TRP004804,,MANDI045,WH-East,19.3,993.9972219091601,,DRV477
TRP000458,,mandi015,Export-Terminal,13.5,589.2,UP57BC7839,DRV936
TRP005407,,mandi_044,WH-West,9.5,509.1,PB30BC5344,DRV402
TRP005621,,MANDI-055,WH-Central,13.1,642.7,PB60AB2091,DRV267
TRP000451,,mandi_055,WH-Central,13.6,569.5,UP86BC1382,
TRP009814,,MANDI041,WH-East,10.6,486.0,UP10AB8146,DRV376
TRP004511,,MANDI005,WH-North,19.2,990.4,RJ97CD5649,DRV910
TRP006905,2026-09-05,MANDI035,WH-Central,9.1,391.5,PB64CD6454,
TRP009620,,mandi_035,WH-North,15.3,746.297914195982,RJ54DF6834,DRV786
TRP001447,,001,WH-West,17.0,1010.0971769119141,RJ76AB4797,DRV528
TRP004254,,MANDI040,WH-West,12.5,600.3983219660561,UP51CD4304,DRV574
TRP002026,,mandi_030,WH-Central,,341.4,PB85CD1500,DRV362
TRP003001,,MANDI046,WH-South,13.4,626.2,DL39AB8415,DRV285
TRP001618,,MANDI052,WH-Central,20.1,901.0,UP31AB8704,DRV977
TRP003596,2026-04-16,mandi_019,Export-Terminal,2.3,125.2,HR66BC2362,DRV757
TRP006240,2026-02-13,MANDI034,WH-East,6.4,257.0,UP72DF9228,
TRP000884,,mandi_023,WH-North,16.9,724.297975682902,RJ96AB2759,DRV912
TRP008452,,M017,WH-South,23.8,1365.3,HR74BC5674,DRV725
TRP004890,,MANDI010,WH-Central,18.2,1041.3,,
TRP003820,,mandi_042,WH-East,9.9,569.798407488772,HR85AB2317,DRV420
TRP007855,2026-08-15,MANDI-030,WH-South,15.5,703.9,UP57CD4718,
TRP000081,,015,WH-North,19.1,1128.5,UP45BC4745,DRV525
TRP004314,2026-08-14,MANDI008,WH-Central,23.5,1205.0,HR46AB9560,DRV991
TRP009785,,mandi_047,WH-North,3.1,181.49949273291,PB65CD1854,DRV923
TRP001083,,MANDI001,WH-North,5.0,277.599224146864,UP74DF5785,
TRP000132,,mandi056,Export-Terminal,20.1,1195.8,DL51BC5902,DRV974
TRP002649,,MANDI021,WH-East,12.5,708.8,RJ53CD4483,DRV299
TRP003134,,MANDI052,WH-West,,787.4,HR28AB9363,DRV876
TRP003474,2026-04-26,MANDI052,WH-North,6.4,327.1,HR65BC9286,DRV105
TRP003101,,MANDI028,WH-North,,416.9,RJ77BC4125,
TRP007455,,MANDI012,WH-North,21.5,880.2,UP86CD7985,
TRP007186,,MANDI003,WH-Central,11.4,559.0,UP36DF3288,DRV608
TRP000501,,mandi021,WH-Central,16.4,677.6,HR77AB4777,
TRP009240,,M022,WH-South,8.3,465.9,HR32BC6827,
TRP000714,2026-02-25,MANDI014,WH-North,16.5,937.4,PB33BC4475,DRV636
TRP005460,,MANDI-027,WH-Central,17.4,897.5,PB84AB8118,
TRP001892,,mandi022,Export-Terminal,,771.8,RJ26BC6558,DRV219
TRP009446,,mandi_027,WH-South,11.3,534.0,HR63BC1683,DRV903
TRP002068,,mandi_035,WH-West,10.1,495.0,,DRV632
TRP005876,,MANDI019,WH-West,12.8,676.0,UP71AB7083,DRV994
TRP009557,,mandi015,Export-Terminal,12.3,601.4,HR77DF3955,DRV541
TRP007087,,MANDI006,Export-Terminal,15.4,791.1,DL31AB6150,DRV700
TRP001361,2026-02-17,mandi_033,WH-South,19.9,987.6,PB61BC1454,DRV893
TRP008058,,mandi_054,WH-South,13.4,649.1,UP41AB8273,DRV844
TRP000260,,mandi027,Export-Terminal,,252.9,DL46CD2171,
TRP001617,,mandi031,WH-East,6.6,320.0,UP27BC2223,
TRP008864,,mandi021,WH-North,20.2,843.4,HR80BC4499,DRV233
TRP002234,,MANDI-037,Export-Terminal,,690.598069869684,,DRV542
TRP005457,,MANDI022,WH-West,,1226.1,,DRV262
TRP002911,,MANDI034,WH-West,,1282.1964164305082,HR99DF9280,
TRP009154,,MANDI-035,Export-Terminal,21.0,991.097230014254,,DRV870
TRP007238,,mandi031,WH-West,17.3,884.697527387358,,
TRP008199,,mandi_018,WH-South,,157.0,DL91AB5419,DRV369
TRP009234,,mandi_003,WH-West,3.7,158.8,HR68BC1812,DRV562
TRP000032,,M023,WH-West,14.4,632.8,HR83AB7638,DRV294
TRP008249,,mandi_012,WH-East,21.8,1192.1,HR64CD9211,DRV178
TRP001471,,MANDI023,Export-Terminal,10.6,624.598254330444,HR39CD4640,DRV866
TRP007397,,M019,Export-Terminal,,956.7,PB60AB7599,DRV808
TRP003008,,MANDI042,WH-South,13.9,830.6,DL53DF1961,DRV364
TRP004705,,mandi_010,WH-Central,5.6,277.9,RJ20CD6578,
TRP006773,,mandi_017,WH-South,18.7,1021.5,RJ22BC9175,DRV241
TRP003998,,MANDI039,Export-Terminal,19.4,917.7974348774919,UP79AB9796,DRV944
TRP004864,,048,WH-Central,5.9,244.1,UP41AB4705,DRV270
TRP005577,,MANDI-015,WH-Central,21.4,1067.8,UP28DF1133,DRV267
