record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp
PR011958,02/04/2026,,Bathinda,Kanak,"₹2,215.53","2,450.04/-",2332.79,2275
PR002913,08.08.2026,MANDI-027,Sirsa,Mustard,5826.290509325942,"INR 6,273",6049.51,"INR 5,650"
PR000358,31/01/2026,MANDI030,Ludhiana,Corn,"₹1,867.38",,"Rs. 1,949","2,090.00/-"
PR008575,20/07/2026,,Moga,Ganne,"₹3,509.61","Rs. 4,356",3932.8,
PR010458,2026/01/10,,Bathinda,Kapas,"Rs. 5,627","6,650.37/-",6138.929109845614,6620
PR000951,25.06.2026,MANDI-056,Hisar,Dhaan,2226.17,"Rs. 2,525","Rs. 2,376",2183
PR002105,01-20-2026,mandi_039,Kurukshetra,Kapas,"₹6,155.47","INR 6,702",6428.56,"₹6,620.00"
PR007951,02/01/2026,M024,Kurukshetra,Maize,"2,174.42/-",2348.9471523051525,"INR 2,262",
PR001266,2026/04/25,MANDI019,Fatehabad,Ganna,"Rs. 3,500","Rs. 4,245","INR 3,873",3500
PR006089,02.03.2026,mandi_046,Ferozepur,Mustard,5142.95,"₹5,632.66","₹5,387.81",5650
PR010862,2026/02/11,mandi042,Ambala,mustard,5493.827969524963,"6,761.44/-","₹6,127.63",5650
PR011617,18.03.2026,MANDI-053,Bathinda,Makka,"2,009.38/-","₹2,235.40",2122.39,
PR001291,2026-08-03,mandi_046,Jalandhar,धान,"1,867.54/-",2189.09,"2,028.32/-","Rs. 2,183"
PR001377,2026-06-14,MANDI007,,Basmati,"₹1,970.80","INR 2,447","INR 2,209",
PR003954,2026-03-31,MANDI017,Kurukshetra,Dhaan,1971.7,"Rs. 2,237","INR 2,104","Rs. 2,183"
PR003093,20-May-2026,M008,Ludhiana,चावल,"INR 1,975",2358.74,"2,166.76/-",2183
PR000689,02.04.2026,MANDI054,,GEHUN,2293.99,"INR 2,786","Rs. 2,540",
PR002359,09-Apr-2026,MANDI026,Hisar,cotton,"INR 6,497","₹7,003.03",6749.79,"INR 6,620"
PR004233,29-Jan-2026,MANDI049,,paddy,2082.58,,2270.31,2183
PR009368,04-05-2026,mandi014,Karnal,Narma,"₹6,403.67","₹6,871.07","₹6,637.37",6620
PR005203,29-Mar-2026,MANDI024,Ferozepur,गेहूं,2124.53,"₹2,316.88",2220.7,"INR 2,275"
PR006235,20-May-2026,MANDI-006,Hisar,Cotton,,"₹7,062.16","₹6,842.78",
PR011846,2026-09-05,MANDI-031,Ambala,गेहूं,2076.39,2414.63,"2,245.51/-",
PR001340,2026-01-16,MANDI007,Jalandhar,Paddy,"Rs. 1,857","2,122.46/-",1989.82,"INR 2,183"
PR008186,01-25-2026,,Moga,Rice,2005.68,"₹2,112.51","₹2,059.10",
PR007070,09.05.2026,M022,,Rice,"2,038.27/-","2,509.70/-",2273.98,2183
PR004775,02-23-2026,,Jalandhar,Gehun,"INR 2,097","Rs. 2,609","INR 2,353",2275
PR006448,20.02.2026,MANDI035,Ludhiana,corn,1881.78,2319.1,"₹2,100.44",
PR003034,29/01/2026,MANDI055,Amritsar,Wheat,"2,375.39/-","Rs. 2,905","₹2,640.12","INR 2,275"
PR002947,13/05/2026,,Patiala,Cotton,"INR 6,131",7320.96,"₹6,725.89","₹6,620.00"
PR002729,02.03.2026,MANDI008,Karnal,Mustard,"₹5,787.16",6077.88,5932.52,"₹5,650.00"
PR007737,20-Feb-2026,MANDI012,Amritsar,गेहूं,"Rs. 1,964",2203.07,2083.63,"2,275.00/-"
PR005676,01-Jul-2026,MANDI007,Fatehabad,Corn,1976.82,"Rs. 2,419","₹2,197.94","2,090.00/-"
PR007093,2026-01-31,MANDI051,,Basmati,"₹2,285.36","₹2,595.15",,"INR 2,183"
PR008805,2026-03-11,M046,Ludhiana,सरसों,"INR 4,820","Rs. 5,699","5,259.53/-",5650
PR005981,2026-07-23,MANDI-013,Kurukshetra,wheat,"₹2,341.23","Rs. 2,517","₹2,429.19","₹2,275.00"
PR000060,14/05/2026,,Ferozepur,mustard,"5,811.32/-",6329.19,"₹6,070.26",5650
PR001371,04/06/2026,MANDI030,Ferozepur,cotton,"Rs. 5,660",6087.83,"Rs. 5,874","₹6,620.00"
PR003239,03.01.2026,,Karnal,चावल,"INR 1,872",2174.23,2023.3017368627486,"INR 2,183"
PR002056,22.08.2026,mandi_009,Ferozepur,Basmati,1908.1409099896425,"INR 2,009","Rs. 1,958",
PR005252,05.01.2026,MANDI-032,Jalandhar,Gehun,"₹2,151.86","₹2,675.13",2413.49,
PR009259,01-Jun-2026,M055,,Ganne,"INR 3,152","Rs. 3,337",3244.6003698960367,"Rs. 3,500"
PR002760,02-15-2026,036,Karnal,Narma,6302.29,7206.81,"₹6,754.55","6,620.00/-"
PR004003,25/08/2026,mandi_029,Kurukshetra,Ganna,"3,083.37/-","Rs. 3,315","Rs. 3,199","Rs. 3,500"
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,"6,311.65/-",6815.97,"6,563.81/-",
PR004575,28-Aug-2026,mandi040,Ferozepur,चावल,"₹2,184.65","₹2,619.32",2401.982891153114,2183
PR001751,19.07.2026,MANDI047,Ludhiana,सरसों,"5,637.61/-",,6334.03,
PR001077,07-22-2026,,Kurukshetra,सरसों,5178.312104348875,,5757.03,5650
PR005404,22/01/2026,M034,Sirsa,मक्का,1786.3365949009074,"1,926.15/-",1856.24,"₹2,090.00"
PR006339,25.04.2026,MANDI051,Karnal,Narma,"₹6,696.62","INR 7,530","₹7,113.15",6620
PR009691,2026/05/11,MANDI010,Fatehabad,Ganna,"₹3,201.15",3361.389536195206,3281.27,3500
PR010145,2026-02-02,MANDI013,Kurukshetra,GEHUN,2069.22,"INR 2,309",2188.9685772991033,"INR 2,275"
PR001300,2026-08-02,mandi_046,Patiala,corn,"INR 1,918","₹2,158.02",2038.25,"INR 2,090"
PR007631,2026/03/02,MANDI055,Bathinda,Wheat,"₹2,386.55","2,953.19/-","2,669.87/-",2275
PR000891,17/07/2026,mandi050,Amritsar,Ganna,3360.97,"₹3,721.24",3541.11,"Rs. 3,500"
PR000564,05.01.2026,mandi039,Hisar,Sugarcane,3448.28,"INR 4,181","3,814.67/-",3500
PR000602,2026-05-29,mandi_009,Ambala,Dhaan,"INR 1,924","₹2,048.10","INR 1,986","Rs. 2,183"
PR010104,2026-06-29,M040,Karnal,WHEAT,2287.5,2466.13,"2,376.82/-","INR 2,275"
PR000234,03-06-2026,M046,Sirsa,Ganne,"INR 3,421","Rs. 3,726",3573.51,3500
PR005480,20/07/2026,MANDI050,Moga,Mustard,"5,592.07/-",6362.979993983251,"₹5,977.53",5650
PR010827,2026-06-25,MANDI005,Fatehabad,sugarcane,3119.64,3645.1,"₹3,382.37",3500
PR000661,26/07/2026,MANDI-029,Fatehabad,Paddy,,2666.93,"INR 2,401","2,183.00/-"
PR002565,07-May-2026,MANDI043,Ludhiana,Makki,,"INR 2,198","INR 2,022","INR 2,090"
PR004659,01-23-2026,MANDI010,Sirsa,Makka,"₹1,944.04","INR 2,211","INR 2,077","INR 2,090"
PR008402,16/06/2026,MANDI027,Fatehabad,मक्का,"INR 1,845",2143.52,"₹1,994.33",
PR007197,04-May-2026,mandi033,Ambala,गन्ना,3653.020121077713,4059.89,"Rs. 3,856",3500
PR000500,04-02-2026,mandi035,Moga,चावल,2181.045527366979,2399.84,"INR 2,290","Rs. 2,183"
PR002708,17.08.2026,M053,Sirsa,कपास,6858.04,7844.4388757834595,"₹7,351.24","Rs. 6,620"
PR008975,05/04/2026,MANDI-046,Karnal,Wheat,"INR 2,350","INR 2,685","INR 2,517",2275
PR007085,11/03/2026,MANDI039,Ambala,Sarso,"INR 5,727","Rs. 6,192","INR 5,959","₹5,650.00"
PR003234,08-31-2026,MANDI010,Hisar,Sarson,"Rs. 5,344","INR 6,188","Rs. 5,766","INR 5,650"
PR010364,29-Jun-2026,MANDI014,Fatehabad,Chawal,"INR 1,936",2035.72,,2183
PR003552,18.05.2026,,Karnal,corn,"₹1,791.21","₹1,980.88",1886.04,
PR003156,28/07/2026,MANDI052,Bathinda,Makki,2067.21,"Rs. 2,382","₹2,224.78","2,090.00/-"
PR001607,18.06.2026,,Patiala,mustard,"INR 5,565",6412.727054232409,"Rs. 5,989",
PR002564,2026-04-06,MANDI010,Ambala,corn,2121.78,"Rs. 2,587","INR 2,354","INR 2,090"
PR001680,09/02/2026,MANDI-038,Bathinda,paddy,"2,063.33/-","Rs. 2,387","₹2,225.08",2183
PR004686,2026-04-30,mandi_051,,Sarson,5523.1,"6,271.94/-","Rs. 5,898",
PR010671,12/08/2026,MANDI036,Sirsa,sugarcane,"INR 3,521","3,829.90/-","INR 3,675","₹3,500.00"
PR003180,03/02/2026,MANDI057,Patiala,Rice,"₹2,102.20","₹2,284.30","₹2,193.25","2,183.00/-"
PR007921,13.06.2026,MANDI057,Patiala,गेहूं,"INR 2,274","₹2,519.92",2397.03,"2,275.00/-"
PR009782,30/03/2026,mandi_045,,Mustard,4983.72,"₹6,078.70","5,531.21/-","5,650.00/-"
PR007375,26.05.2026,mandi_007,Sirsa,Kapas,6948.75,"Rs. 7,354","₹7,151.48",6620
PR003698,28-Feb-2026,MANDI003,Jalandhar,Corn,,"INR 2,455",2321.22,"₹2,090.00"
PR011382,20-May-2026,MANDI047,Karnal,Makki,"Rs. 1,923","₹2,057.96",1990.53,"₹2,090.00"
PR000927,08-16-2026,mandi_042,Bathinda,Wheat,1971.5,"₹2,367.71","Rs. 2,170","2,275.00/-"
PR011519,2026-03-27,MANDI030,Jalandhar,Sarso,5653.22,"₹6,810.92","INR 6,232","₹5,650.00"
PR009637,10/03/2026,mandi056,Hisar,सरसों,"5,115.50/-",,"Rs. 5,462",5650
PR001637,23/04/2026,mandi_048,Ludhiana,चावल,2010.1534847915866,"2,209.05/-","INR 2,110",
PR004876,12-Aug-2026,,Fatehabad,Narma,6345.534975638505,"INR 7,199",6772.33,
PR001068,2026/02/27,MANDI043,Moga,Chawal,"₹2,093.86","₹2,212.47","2,153.17/-","₹2,183.00"
PR006220,31/05/2026,mandi_021,Bathinda,Makka,"INR 1,888",2027.39,1957.5956597046059,"₹2,090.00"
PR008164,16.04.2026,,Hisar,Paddy,2145.539983472816,"2,347.05/-","₹2,246.30",2183
PR004486,06/05/2026,,Hisar,corn,1887.5,2254.54,"INR 2,071","₹2,090.00"
PR001657,2026-05-26,,Jalandhar,Sugarcane,"INR 3,058",3448.7883456534482,"INR 3,253","₹3,500.00"
PR000636,30/07/2026,MANDI001,Jalandhar,Mustard,"Rs. 5,830",6522.04,"6,175.78/-","Rs. 5,650"
PR008714,01-19-2026,MANDI-044,Bathinda,Ganna,3275.4225337385774,3868.2,"INR 3,572","₹3,500.00"
PR006554,12/05/2026,mandi019,Ferozepur,Gehun,"INR 2,043","Rs. 2,169","₹2,106.18",
PR007451,05/06/2026,mandi_049,Hisar,paddy,2133.49,2430.74,2282.12,"Rs. 2,183"
PR004826,2026/02/27,MANDI008,Moga,Sarson,5305.6683659374585,5842.61,"₹5,574.14","Rs. 5,650"
PR003124,04.07.2026,MANDI002,Patiala,Cotton,"6,280.49/-",7576.15,"₹6,928.32","₹6,620.00"
PR007308,15.06.2026,MANDI-048,Jalandhar,Cotton,"6,414.53/-",7817.45,7115.99,
PR011358,03/03/2026,mandi_027,Hisar,wheat,"₹1,957.21",2120.7088850785995,"2,038.96/-","Rs. 2,275"
PR002849,19/02/2026,mandi_043,Jalandhar,GEHUN,"₹2,108.38","INR 2,303","₹2,205.49",
PR000278,02/04/2026,MANDI002,,corn,"INR 2,028","Rs. 2,420","INR 2,224","₹2,090.00"
PR010767,2026-01-26,MANDI049,Patiala,कपास,"6,176.37/-",7109.091862971616,6642.73,
PR009416,05.06.2026,,,Paddy,"₹1,918.74","INR 2,304","Rs. 2,111",2183
PR006769,2026-08-02,,,गेहूं,"2,047.45/-",2342.22,"INR 2,195",2275
PR005062,2026/08/29,mandi057,Ferozepur,Ganne,3331.999425085686,3987.3206060919074,"3,659.66/-",
PR006581,2026/06/17,MANDI012,Kurukshetra,Mustard,5447.43517291978,"INR 6,539",,"₹5,650.00"
PR003411,25-Jul-2026,MANDI050,Bathinda,Sarson,"5,673.40/-",,"INR 6,244",
PR001183,28-Jun-2026,MANDI051,,WHEAT,2311.342582562423,2580.92,"2,446.13/-","₹2,275.00"
PR003889,2026-05-29,,Sirsa,Kapas,"Rs. 6,089",6442.05,6265.64,
PR006057,28/03/2026,,Ludhiana,paddy,"1,970.36/-",2238.5,"Rs. 2,104","Rs. 2,183"
PR010183,2026/01/13,MANDI023,Kurukshetra,corn,"Rs. 1,863","2,087.97/-","1,975.71/-","Rs. 2,090"
PR000371,07-Aug-2026,M018,Fatehabad,Sarson,"INR 5,054","5,585.96/-",5320.06,"INR 5,650"
PR006590,24-May-2026,M035,Patiala,WHEAT,2350.41,"Rs. 2,731","₹2,540.73","₹2,275.00"
PR010318,2026-02-15,mandi_014,Amritsar,Ganna,"Rs. 3,264",3445.4932241573993,"Rs. 3,355","Rs. 3,500"
PR000090,2026-06-26,MANDI040,Ambala,Maize,1881.8691227385789,,2003.89,"2,090.00/-"
PR004915,29.03.2026,,Moga,गेहूं,"Rs. 2,155",,2340.1,"Rs. 2,275"
PR009953,22/04/2026,M028,Ambala,Dhaan,"₹1,901.88","₹2,078.12",1990.0,"INR 2,183"
PR010106,02/01/2026,MANDI042,Bathinda,कपास,"INR 6,136",6538.69,6337.33,
PR000014,08-Feb-2026,MANDI-028,Hisar,WHEAT,"₹2,100.07",2375.64,"INR 2,238","2,275.00/-"
PR000287,2026/04/13,MANDI-031,,Kanak,"₹2,103.01",2276.59,"2,189.80/-","₹2,275.00"
PR004723,12/04/2026,MANDI020,Kurukshetra,Gehun,"Rs. 1,960","INR 2,441",2200.7,2275
PR000290,2026/08/07,mandi_024,Bathinda,Ganna,3589.02,3950.83341499987,"₹3,769.93","INR 3,500"
PR000885,26-Apr-2026,mandi016,Kurukshetra,सरसों,4928.43761867252,"₹5,446.76","Rs. 5,188","₹5,650.00"
PR006785,2026-07-31,MANDI025,Karnal,Rice,"Rs. 2,112","₹2,555.56","Rs. 2,334",2183
PR011132,2026-03-30,MANDI020,Sirsa,Sugarcane,3250.83,"₹3,969.99","Rs. 3,610",3500
PR000072,06/01/2026,MANDI047,Amritsar,WHEAT,2020.69,,2160.48,"₹2,275.00"
PR008759,10/04/2026,MANDI042,Moga,Basmati,"1,916.22/-","INR 2,381","INR 2,148","₹2,183.00"
PR002705,2026-06-11,,,Mustard,"4,886.19/-",5692.39,"5,289.29/-",
PR011585,2026-01-28,MANDI-016,Jalandhar,Ganne,"INR 3,395","₹3,710.84",3552.76,
PR001860,2026/04/18,,Sirsa,गन्ना,"₹3,233.75",3496.33,"Rs. 3,365",
PR001126,2026/03/20,M003,Amritsar,चावल,"₹1,889.99",2165.52,,"INR 2,183"
PR001877,04-28-2026,MANDI-038,Ludhiana,Cotton,"₹6,070.34","Rs. 6,646",6357.95,
PR004804,08-10-2026,M015,Fatehabad,Sugarcane,"Rs. 3,036","₹3,480.16","3,257.90/-",3500
PR005224,2026-08-06,MANDI019,Ludhiana,Cotton,5856.97,6404.1,"₹6,130.53","Rs. 6,620"
PR011327,07-20-2026,mandi_020,Hisar,mustard,"Rs. 5,578","₹6,771.16","INR 6,175",5650
PR003657,07/06/2026,mandi049,Moga,Sarson,5526.458101463893,6776.9,6151.677939662541,5650
PR004286,2026-02-13,MANDI020,Sirsa,Mustard,"4,839.19/-",5232.752108331381,"INR 5,036","Rs. 5,650"
PR009464,05-12-2026,MANDI054,Sirsa,Mustard,,6269.21,"INR 5,795",5650
PR009540,08-17-2026,MANDI036,Ferozepur,Paddy,2140.35,2314.92,,2183
PR008741,2026-05-28,,Hisar,Sarso,"₹5,551.23",6183.12,"₹5,867.18","INR 5,650"
PR006103,06-11-2026,MANDI-032,Fatehabad,Mustard,4861.23,5327.596778987246,"INR 5,094","INR 5,650"
PR004446,2026-04-01,MANDI-012,Jalandhar,Wheat,"₹2,054.38",2163.73,"2,109.06/-",2275
PR008501,2026-06-21,mandi_047,Ambala,मक्का,2055.01,"INR 2,496",,"Rs. 2,090"
PR009136,2026/08/31,005,Hisar,mustard,5172.652159477422,"Rs. 5,630","₹5,401.09",5650
PR006128,22/08/2026,MANDI029,Bathinda,Ganna,3586.69,4146.78,"Rs. 3,867","₹3,500.00"
PR003726,2026/03/16,MANDI047,,wheat,,"INR 2,382",2300.9,"Rs. 2,275"
PR004026,13-Apr-2026,MANDI002,Amritsar,Corn,"2,131.44/-","2,417.37/-","₹2,274.41",2090
PR006940,15.07.2026,,Sirsa,Wheat,"INR 2,027","₹2,491.30",2259.35,"2,275.00/-"
PR005645,05.03.2026,MANDI033,Bathinda,Ganne,3040.1534854977804,"3,610.64/-","INR 3,325","3,500.00/-"
PR000750,2026-03-08,MANDI040,Ambala,wheat,"2,215.18/-",2565.59,"INR 2,390","INR 2,275"
PR010477,2026-03-08,MANDI-013,Moga,mustard,"INR 4,997",,"₹5,469.33",
PR000039,15.07.2026,,,Makka,1962.5739438804824,"₹2,442.29",2202.4319069968533,"Rs. 2,090"
PR011063,09.05.2026,M027,,Sugarcane,"₹3,640.70","Rs. 3,951","Rs. 3,796",3500
PR011564,2026-04-28,MANDI-053,Patiala,Ganna,"₹3,045.97","INR 3,222","3,133.91/-",
PR007008,08.04.2026,MANDI049,Fatehabad,Ganne,"₹3,369.49",4021.331053658642,3695.41,3500
PR003175,2026-04-14,,,Kanak,"INR 2,064",2298.0486185914897,2180.934103947472,
PR006920,2026-04-27,mandi054,,Chawal,"INR 2,220","₹2,582.38",2400.95,
PR004602,2026/01/03,MANDI002,,Mustard,5771.242300224399,6931.516916716651,"₹6,351.38","Rs. 5,650"
PR002404,27/05/2026,mandi_035,Patiala,WHEAT,"INR 2,377","INR 2,583","₹2,479.89",
PR003530,03-13-2026,MANDI050,Sirsa,Makka,1916.33,"Rs. 2,164",2040.26,"2,090.00/-"
PR000052,14.06.2026,MANDI039,Hisar,Chawal,"₹1,893.66","Rs. 2,329","INR 2,111",2183
PR004884,2026/05/11,mandi029,Ambala,Sarso,"₹4,883.77",5935.74,5409.76,"Rs. 5,650"
PR004396,20-Mar-2026,mandi_039,Jalandhar,wheat,2316.1367012365836,"Rs. 2,639",2477.74,"2,275.00/-"
PR005356,25.03.2026,M029,Sirsa,सरसों,"₹5,367.63",6494.201218716404,"Rs. 5,931","INR 5,650"
PR008385,03-05-2026,MANDI007,Fatehabad,Cotton,"Rs. 6,143",6676.52,6409.956297337709,
PR001049,28.02.2026,MANDI018,Moga,Sugarcane,3544.39,"4,305.27/-","₹3,924.83","Rs. 3,500"
PR001227,2026/05/28,MANDI049,Ludhiana,Chawal,"Rs. 2,223","INR 2,360","2,291.15/-",2183
PR002021,02-15-2026,MANDI053,Kurukshetra,Sugarcane,"₹2,975.02",3540.228356606027,3257.62,"₹3,500.00"
PR002840,08/07/2026,mandi055,Jalandhar,Chawal,"₹1,909.34","INR 2,007",1958.1,
PR001582,09/07/2026,MANDI-020,Ambala,Sarson,,"INR 6,323",6051.36,"Rs. 5,650"
PR007108,13.08.2026,MANDI-037,,Sugarcane,"Rs. 3,272","3,501.56/-","₹3,386.98",3500
PR002341,2026/01/12,MANDI053,Karnal,WHEAT,"INR 2,267","2,644.35/-",2455.58,"INR 2,275"
PR005608,2026/02/06,,Bathinda,Ganne,"INR 3,229","3,715.85/-","INR 3,473",3500
PR001136,2026-04-18,mandi038,Ferozepur,Basmati,"₹2,102.32",2442.07,2272.196527136316,"INR 2,183"
PR009689,02.09.2026,MANDI048,Karnal,Gehun,"Rs. 2,164","INR 2,591",,"INR 2,275"
PR002408,2026-02-22,MANDI047,Ambala,धान,"2,208.44/-",2509.35,"2,358.90/-",
PR004924,13-Mar-2026,mandi_054,Bathinda,GEHUN,,"₹2,411.00","₹2,322.27","₹2,275.00"
PR003193,30-Mar-2026,MANDI010,,Kapas,6317.87239055306,6975.84,"₹6,646.85","6,620.00/-"
PR005567,2026-01-07,MANDI-026,Ferozepur,Narma,"₹5,830.38","Rs. 6,868",6349.04,
PR002815,2026-08-19,MANDI-030,,Sarso,"5,403.91/-",6606.69,6005.3,
PR000950,20.08.2026,MANDI032,Patiala,सरसों,5880.31,6824.33,"6,352.32/-","₹5,650.00"
PR004751,2026-02-17,028,Ambala,Mustard,"INR 4,874","INR 5,365","₹5,119.29","₹5,650.00"
PR008389,07-08-2026,MANDI-024,Amritsar,Ganna,"₹3,647.18",3970.64,"3,808.91/-","INR 3,500"
PR008760,05/07/2026,mandi_001,,Dhaan,1878.64,"Rs. 2,162",2020.53,
PR011074,29/07/2026,MANDI020,Fatehabad,Corn,2194.053527943877,"INR 2,537",2365.44,2090
PR005674,15.04.2026,MANDI008,Moga,corn,1979.96,"2,214.64/-",2097.3,"INR 2,090"
PR005008,2026-01-31,MANDI-018,Amritsar,Kanak,2010.881479567271,"INR 2,355","₹2,183.00",
PR011356,18/03/2026,M043,Hisar,corn,1954.52,"Rs. 2,366","₹2,160.21","INR 2,090"
PR002972,09/01/2026,MANDI-022,Moga,Mustard,"5,071.97/-",,"Rs. 5,639",5650
PR010128,2026-08-12,MANDI028,Jalandhar,sugarcane,"INR 3,371","4,039.65/-",3705.46,
PR011087,2026-05-18,MANDI007,Hisar,cotton,6778.52,,"7,571.13/-","6,620.00/-"
PR004868,2026-05-02,,Ludhiana,Sarso,"Rs. 5,002","₹6,193.71","₹5,598.01","INR 5,650"
PR008792,02-08-2026,mandi_054,Karnal,Gehun,"INR 2,009",2222.62,"Rs. 2,116",
PR007739,31/01/2026,MANDI014,Bathinda,Chawal,,2361.8612565831104,2127.9743581320763,"Rs. 2,183"
PR002430,16/05/2026,mandi_012,Amritsar,cotton,6174.08,"₹7,548.55","₹6,861.32","INR 6,620"
PR004051,2026/01/31,MANDI028,Ambala,गन्ना,"INR 2,980","₹3,691.46","INR 3,336","3,500.00/-"
PR003668,06-Apr-2026,MANDI046,Ferozepur,Kanak,2355.04,"₹2,804.03",2579.5355788650804,"INR 2,275"
PR004727,21-Aug-2026,MANDI055,Kurukshetra,Narma,6876.26,8157.95,"₹7,517.11","Rs. 6,620"
PR005138,12.07.2026,MANDI029,Ludhiana,मक्का,"Rs. 2,096",2223.71,2159.61,
PR007759,12.08.2026,mandi_047,Ferozepur,कपास,"₹6,556.98","7,685.55/-","INR 7,121",6620
PR011285,03-21-2026,MANDI014,Amritsar,Dhaan,2080.71,"₹2,557.56",2319.13368564531,
PR001781,2026-01-29,,,sugarcane,"INR 3,328",,"₹3,495.26","₹3,500.00"
PR004208,01-Mar-2026,055,Fatehabad,Sugarcane,"3,298.88/-","INR 3,885","3,591.97/-",
PR009564,06/02/2026,,Sirsa,Chawal,"1,917.90/-","₹2,096.52",2007.21,"INR 2,183"
PR006507,2026-07-03,M026,Bathinda,Mustard,"Rs. 5,898","₹7,095.58","INR 6,497","₹5,650.00"
PR000400,2026-05-14,MANDI013,Ambala,Narma,"₹6,276.11","INR 7,009","Rs. 6,642","INR 6,620"
PR007293,2026/04/07,MANDI020,Bathinda,WHEAT,,2422.25,2352.52,2275
PR008867,01-05-2026,mandi_044,Moga,Kanak,"₹2,385.90","2,639.48/-",,"INR 2,275"
PR001310,19/04/2026,MANDI010,Amritsar,गेहूं,2150.5,"2,332.55/-",2241.53,2275
PR005490,2026/03/16,MANDI017,,GEHUN,"Rs. 2,142","INR 2,563","INR 2,353",
PR011563,2026/03/03,M053,Bathinda,Gehun,2255.15,2482.51,2368.828527057596,2275
PR010339,25.04.2026,M041,Ambala,सरसों,"Rs. 4,885","₹5,930.06","₹5,407.37","₹5,650.00"
PR008342,2026/05/08,M008,Karnal,sugarcane,"3,424.86/-",4060.635122435789,3742.75,3500
PR009868,23.03.2026,MANDI014,,Kanak,"₹1,973.64",,,"INR 2,275"
PR006715,15/05/2026,MANDI005,Ambala,corn,2009.38,"2,499.56/-","₹2,254.47","INR 2,090"
PR007779,2026-04-15,MANDI-014,Karnal,Mustard,"₹5,290.63",5646.15,5468.39,"Rs. 5,650"
PR003626,17.01.2026,MANDI013,Kurukshetra,Kapas,"₹6,807.99","INR 7,556","INR 7,182","Rs. 6,620"
PR006541,24-Mar-2026,mandi022,Hisar,Chawal,"INR 1,872","₹2,118.32",1995.3074203373908,2183
PR005794,2026-01-18,MANDI-032,Amritsar,Makka,2042.8075738151144,2420.66,2231.7320808322575,
PR000124,01/08/2026,mandi013,Ferozepur,सरसों,"₹5,392.49","Rs. 5,765",5578.81,
PR004975,03.07.2026,MANDI025,Amritsar,Maize,1951.41,2198.6199062458213,2075.01,"INR 2,090"
PR011583,14/08/2026,M012,,Narma,6753.832063085397,"₹7,183.44",6968.63,
