arrival_id,date,mandi_id,crop_name,variety,arrival_quantity_qtl,farmer_count
ARR0022884,12.05.2026,MANDI047,Maize,,194.32,33.0
ARR0003230,2026-04-03,MANDI051,Mustard,PBW-343,380.55,6.0
ARR0003266,24-Apr-2026,MANDI023,Sugarcane,,97.11,17.0
ARR0023966,2026-03-03,MANDI017,Mustard,PBW-343,159.99,125.0
ARR0017190,01/08/2026,MANDI002,Cotton,PBW-343,,73.0
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,78.45,54.0
ARR0013641,18/03/2026,MANDI018,Mustard,Premium,342.39,143.0
ARR0019876,2026/07/12,MANDI054,Rice,,322.27,127.0
ARR0018787,08-08-2026,MANDI044,Rice,Pusa-1121,,69.0
ARR0020778,08.03.2026,MANDI024,Mustard,HD-2967,127.9,113.0
ARR0002765,2026-02-28,MANDI013,Mustard,Premium,361.74,62.0
ARR0014145,2026-01-31,MANDI006,Sugarcane,Pusa-1121,469.92,18.0
ARR0023854,06/05/2026,MANDI007,Sugarcane,,-1.7705000000000002,46.0
ARR0012859,2026/03/20,MANDI057,Cotton,PBW-343,341.2900000000001,
ARR0023766,2026-02-02,MANDI025,Rice,HD-2967,175.88,88.0
ARR0009572,10.05.2026,MANDI041,Maize,Premium,176.03000000000003,38.0
ARR0021131,2026-04-24,MANDI040,Maize,Hybrid,,146.0
ARR0022207,2026-03-25,MANDI027,Rice,HD-2967,472.36,11.0
ARR0005385,2026/08/07,MANDI028,Cotton,Hybrid,126.77,5.0
ARR0020517,2026-06-02,MANDI026,Wheat,PBW-343,284.92,99.0
ARR0015213,27.02.2026,MANDI005,Rice,PBW-343,54.32,122.0
,2026/02/04,MANDI031,Maize,Local,,60.0
ARR0010273,2026-03-06,MANDI021,Mustard,,200.26,11.0
ARR0023476,2026/06/05,MANDI023,Mustard,PBW-343,312.23,18.0
ARR0013815,06-08-2026,MANDI009,Maize,HD-2967,270.41,83.0
ARR0023287,2026/02/08,MANDI003,Cotton,PBW-343,44.41,127.0
ARR0016192,2026-07-03,MANDI023,Maize,,455.6,59.0
ARR0011823,2026/01/13,MANDI004,Rice,HD-2967,60.33,124.0
ARR0005816,24/01/2026,MANDI039,Sugarcane,PBW-343,158.3,135.0
ARR0006030,2026-04-22,MANDI033,Cotton,HD-2967,,128.0
ARR0010009,2026-03-10,MANDI004,Rice,,291.40000000000003,
ARR0022129,2026/02/10,MANDI040,Sugarcane,Local,458.13,131.0
ARR0015481,09/06/2026,MANDI028,Maize,Premium,,68.0
ARR0020630,16/08/2026,MANDI028,Rice,Local,325.83,36.0
ARR0005888,2026/07/03,MANDI049,Maize,,182.46,
ARR0006650,06.09.2026,MANDI043,Rice,Local,182.75,128.0
ARR0002363,09/03/2026,MANDI026,Maize,Pusa-1121,239.47,29.0
ARR0010446,08-05-2026,MANDI026,Maize,Pusa-1121,178.99,21.0
ARR0009069,05-15-2026,MANDI022,Cotton,Pusa-1121,59.18,76.0
ARR0020854,18-Jun-2026,MANDI035,Sugarcane,Pusa-1121,158.72,
ARR0023442,2026-05-20,MANDI056,Cotton,,258.28000000000003,73.0
ARR0011135,20-Jun-2026,MANDI035,Rice,Premium,375.28,138.0
ARR0000197,05-20-2026,MANDI001,Cotton,HD-2967,,118.0
,08-May-2026,MANDI002,Maize,HD-2967,285.57,46.0
ARR0001203,04-04-2026,MANDI045,Cotton,PBW-343,26.83,12.0
ARR0009407,2026/04/05,MANDI051,Mustard,Local,108.06,78.0
ARR0013714,31-Mar-2026,MANDI038,Cotton,Premium,372.88,41.0
ARR0002798,2026-04-08,MANDI043,Cotton,Hybrid,354.98,11.0
ARR0006770,2026/06/25,MANDI015,Wheat,Hybrid,141.83,134.0
ARR0019634,2026-03-25,MANDI013,Cotton,,181.37,45.0
ARR0012525,06-25-2026,MANDI043,Maize,Premium,334.11,119.0
ARR0016292,2026/02/05,MANDI049,Maize,Pusa-1121,414.58,36.0
ARR0019272,05/03/2026,MANDI030,Sugarcane,Local,,104.0
ARR0004049,2026-04-13,MANDI003,Rice,Pusa-1121,214.12,56.0
ARR0002716,2026/07/17,MANDI057,Sugarcane,Hybrid,413.89,106.0
ARR0014184,12.02.2026,MANDI037,Mustard,PBW-343,,
ARR0008333,2026/01/15,MANDI054,Wheat,,-3.5718,133.0
ARR0000429,08-25-2026,MANDI039,Cotton,Hybrid,126.56,76.0
ARR0024925,04-Aug-2026,MANDI024,Wheat,,183.44,83.0
ARR0019727,30-Apr-2026,MANDI034,Cotton,PBW-343,403.81,81.0
ARR0002477,03-28-2026,MANDI020,Rice,Local,311.39,150.0
ARR0000342,17.06.2026,MANDI033,Cotton,Premium,191.48,30.0
ARR0023820,07-25-2026,MANDI029,Mustard,Local,272.0,
ARR0010204,21.07.2026,MANDI006,Rice,,25.84,102.0
ARR0000398,25/03/2026,MANDI029,Maize,PBW-343,,44.0
ARR0020708,2026/06/01,MANDI054,Cotton,Hybrid,410.2000000000001,60.0
ARR0020105,02-19-2026,MANDI028,Mustard,Pusa-1121,485.63,60.0
ARR0019842,30/03/2026,MANDI056,Sugarcane,Pusa-1121,29.48,112.0
ARR0014214,21/02/2026,MANDI031,Sugarcane,Hybrid,,123.0
ARR0017781,24-May-2026,MANDI031,Sugarcane,PBW-343,460.65,46.0
ARR0009910,28.04.2026,MANDI041,Cotton,Pusa-1121,372.43,42.0
ARR0008506,03.02.2026,MANDI024,Rice,Hybrid,74.11,96.0
ARR0023886,2026-07-12,MANDI011,Maize,Local,156.64,14.0
ARR0006149,27/04/2026,MANDI041,Cotton,Pusa-1121,46.38,103.0
ARR0023964,20-Jul-2026,MANDI008,Rice,,81.67,
ARR0003143,08-24-2026,MANDI034,Rice,HD-2967,,113.0
ARR0002588,06-05-2026,MANDI040,Mustard,,44.89,137.0
ARR0002948,18.02.2026,MANDI019,Wheat,,,146.0
ARR0015103,22.02.2026,MANDI050,Cotton,Pusa-1121,242.45,73.0
ARR0011288,04/01/2026,MANDI043,Cotton,Pusa-1121,272.59000000000003,43.0
ARR0009656,04-01-2026,MANDI018,Sugarcane,HD-2967,,
ARR0002899,2026-07-23,MANDI017,Cotton,Hybrid,,134.0
ARR0013711,29.03.2026,MANDI028,Sugarcane,Hybrid,47.79,15.0
ARR0009578,2026-04-12,MANDI016,Maize,Pusa-1121,309.79,20.0
ARR0005981,05/04/2026,MANDI004,Rice,Premium,228.42,145.0
ARR0023291,11/02/2026,MANDI020,Wheat,Premium,80.86,89.0
ARR0009654,13/03/2026,MANDI030,Sugarcane,,,31.0
ARR0012458,08-May-2026,MANDI039,Mustard,Pusa-1121,276.83,24.0
ARR0014621,2026-05-23,MANDI056,Sugarcane,Local,,80.0
ARR0016696,31/01/2026,MANDI039,Maize,Pusa-1121,62.02,132.0
ARR0004195,2026-07-17,MANDI035,Mustard,PBW-343,167.84,129.0
ARR0014009,04/08/2026,MANDI007,Maize,,418.67,85.0
ARR0002509,31/05/2026,MANDI013,Maize,HD-2967,22.0,141.0
ARR0017972,26.02.2026,MANDI034,Rice,Local,293.40000000000003,6.0
ARR0002169,2026/01/09,MANDI039,Rice,Hybrid,-0.5489,41.0
,08-19-2026,MANDI044,Wheat,Hybrid,160.17,138.0
ARR0003269,2026/04/03,MANDI046,Rice,PBW-343,410.98,43.0
ARR0009004,27-Mar-2026,MANDI023,Wheat,,-4.5548,120.0
ARR0018741,20/02/2026,MANDI056,Sugarcane,Premium,256.67,31.0
ARR0014531,03-Feb-2026,MANDI036,Cotton,,-4.5342,38.0
ARR0003705,2026-04-10,MANDI002,Mustard,Hybrid,245.01,
ARR0010827,29/05/2026,MANDI016,Rice,Premium,156.22,95.0
ARR0018637,04.04.2026,MANDI046,Rice,Hybrid,-77.12,67.0
ARR0007570,29-Jul-2026,MANDI019,Mustard,Premium,326.35,105.0
ARR0011179,30/03/2026,MANDI040,Mustard,,327.55,26.0
ARR0009296,2026/05/10,MANDI001,Maize,,23.5,
ARR0019940,21.08.2026,MANDI022,Sugarcane,HD-2967,16.33,68.0
ARR0004811,26.05.2026,MANDI020,Rice,Hybrid,89.74,77.0
ARR0020960,2026/03/03,MANDI047,Mustard,Premium,323.15000000000003,
ARR0002791,2026/02/06,MANDI055,Mustard,PBW-343,211.28,47.0
ARR0012957,02-10-2026,MANDI019,Rice,Local,278.08,36.0
ARR0022933,08.04.2026,MANDI037,Cotton,Premium,,9.0
ARR0014544,2026/07/31,MANDI022,Maize,Pusa-1121,114.88,116.0
ARR0013198,25/04/2026,MANDI010,Wheat,Pusa-1121,59.22,43.0
ARR0007340,03-23-2026,MANDI012,Wheat,Premium,215.7,80.0
ARR0020658,08-01-2026,MANDI021,Rice,Hybrid,409.66,96.0
ARR0001088,2026/05/07,MANDI017,Mustard,Pusa-1121,495.58,94.0
ARR0024650,18/08/2026,MANDI049,Mustard,Hybrid,-0.1134,61.0
ARR0008152,2026-06-08,MANDI008,Cotton,,,147.0
ARR0021890,06-02-2026,MANDI009,Sugarcane,,493.91,84.0
ARR0007925,07-19-2026,MANDI037,Mustard,Local,,32.0
ARR0017611,12-Apr-2026,MANDI024,Maize,Hybrid,165.63,77.0
ARR0016207,07.07.2026,MANDI032,Maize,Pusa-1121,,34.0
ARR0024181,07/05/2026,MANDI015,Sugarcane,Local,110.39,20.0
ARR0004419,03-21-2026,MANDI006,Sugarcane,Hybrid,64.7,105.0
ARR0006199,11/02/2026,MANDI053,Sugarcane,Local,153.27,79.0
ARR0014957,2026/01/09,MANDI019,Mustard,Hybrid,403.96,79.0
ARR0023574,26.02.2026,MANDI023,Mustard,Premium,431.18,129.0
ARR0017021,14.03.2026,MANDI020,Rice,Pusa-1121,25.36,72.0
ARR0001428,2026-07-10,MANDI024,Maize,Hybrid,-77.75,106.0
ARR0002493,14-Apr-2026,MANDI006,Rice,Local,-1.1525,63.0
ARR0013505,06/06/2026,MANDI052,Mustard,,96.35,
ARR0002010,2026-03-21,MANDI033,Wheat,Local,-4.3201,12.0
ARR0002534,02-Jul-2026,MANDI007,Mustard,Pusa-1121,43.98,21.0
ARR0009802,2026-09-07,MANDI026,Cotton,HD-2967,486.01,12.0
ARR0015940,13.03.2026,MANDI028,Maize,,298.47,18.0
ARR0005817,20-Mar-2026,MANDI013,Maize,,,12.0
ARR0023731,2026/03/15,MANDI008,Sugarcane,HD-2967,389.78,
ARR0018857,01-25-2026,MANDI042,Sugarcane,Hybrid,151.28,113.0
ARR0010088,2026-01-09,MANDI049,Mustard,PBW-343,-136.17,
ARR0020189,24/05/2026,MANDI057,Maize,,241.75,68.0
ARR0022768,28-Jun-2026,MANDI024,Mustard,Premium,443.71,42.0
ARR0018919,17/03/2026,MANDI024,Mustard,,78.07,132.0
ARR0006562,04-19-2026,MANDI014,Wheat,PBW-343,,25.0
ARR0004149,04/06/2026,MANDI003,Rice,Premium,318.3,48.0
ARR0024592,28.08.2026,MANDI037,Rice,PBW-343,,55.0
ARR0011429,2026/08/04,MANDI042,Wheat,Local,193.12,101.0
ARR0018153,2026/02/05,MANDI027,Cotton,Local,451.02,141.0
ARR0006286,2026/03/03,MANDI050,Maize,PBW-343,,7.0
ARR0000231,06-07-2026,MANDI049,Sugarcane,Hybrid,,82.0
ARR0018527,2026-08-01,MANDI010,Wheat,Local,425.38,144.0
ARR0008215,22.05.2026,MANDI003,Sugarcane,Local,,73.0
ARR0010793,2026-08-23,MANDI022,Rice,Hybrid,425.79,132.0
ARR0006601,22.06.2026,MANDI015,Mustard,HD-2967,-1.4726,5.0
ARR0023800,09-Sep-2026,MANDI012,Sugarcane,PBW-343,,123.0
ARR0021788,2026-06-07,MANDI016,Sugarcane,Hybrid,153.67000000000002,143.0
ARR0019846,2026-06-21,MANDI024,Maize,Pusa-1121,259.71,40.0
ARR0015205,25.01.2026,MANDI011,Rice,HD-2967,355.64,56.0
ARR0008780,2026-01-30,MANDI038,Rice,PBW-343,,130.0
ARR0006070,06/06/2026,MANDI034,Wheat,,312.94,65.0
ARR0002035,06.06.2026,MANDI049,Maize,,153.95,97.0
ARR0002214,01-24-2026,MANDI044,Maize,Pusa-1121,25.92,112.0
ARR0017078,29.06.2026,MANDI007,Mustard,Pusa-1121,,31.0
ARR0004860,30-Mar-2026,MANDI013,Mustard,Hybrid,96.93,143.0
ARR0024883,18.07.2026,MANDI028,Maize,Hybrid,,131.0
ARR0012995,2026-06-04,MANDI057,Mustard,,385.54,26.0
ARR0002230,2026-05-31,MANDI033,Wheat,Pusa-1121,364.6,127.0
ARR0002276,30.08.2026,MANDI057,Sugarcane,,-1.4327,113.0
,2026/09/06,MANDI046,Cotton,Local,,135.0
ARR0005679,03/03/2026,MANDI015,Cotton,Hybrid,140.36,51.0
ARR0018820,10/05/2026,MANDI032,Mustard,Premium,,116.0
ARR0002749,24/01/2026,MANDI031,Rice,,,
ARR0010291,21-Jun-2026,MANDI036,Cotton,PBW-343,,118.0
ARR0004786,2026/08/01,MANDI015,Sugarcane,,185.58,51.0
ARR0004085,19.05.2026,MANDI056,Maize,PBW-343,106.05,38.0
ARR0001476,2026-05-19,MANDI048,Sugarcane,Local,323.65,68.0
ARR0014866,15-Apr-2026,MANDI032,Sugarcane,PBW-343,402.65,53.0
ARR0005733,2026-09-08,MANDI048,Sugarcane,Hybrid,,42.0
ARR0014885,26-Jul-2026,MANDI035,Rice,Premium,441.08,14.0
ARR0009501,2026-05-18,MANDI045,Maize,PBW-343,,62.0
ARR0017324,30/01/2026,MANDI029,Mustard,Premium,311.41,140.0
ARR0018785,08.09.2026,MANDI009,Wheat,Premium,168.48,81.0
ARR0014174,2026-04-23,MANDI031,Sugarcane,,246.35,83.0
ARR0012348,16/05/2026,MANDI057,Maize,Pusa-1121,28.0,
ARR0002860,25.08.2026,MANDI038,Rice,,162.44,90.0
,04-06-2026,MANDI008,Wheat,Pusa-1121,245.43,116.0
ARR0012382,2026-06-29,MANDI011,Mustard,Hybrid,36.39,
ARR0011204,10/03/2026,MANDI045,Maize,PBW-343,311.7,
ARR0005655,01-09-2026,MANDI025,Rice,Premium,461.3,124.0
ARR0023591,2026-05-18,MANDI039,Cotton,HD-2967,160.01,50.0
ARR0022554,11.03.2026,MANDI055,Rice,Hybrid,333.41,24.0
ARR0024390,08.05.2026,MANDI042,Rice,,393.63,7.0
ARR0008952,25/04/2026,MANDI002,Sugarcane,Pusa-1121,394.35,89.0
ARR0013573,2026/06/08,MANDI015,Sugarcane,Hybrid,,6.0
ARR0023352,2026-06-06,MANDI044,Wheat,,252.05,6.0
ARR0004259,07-10-2026,MANDI012,Cotton,,388.22,22.0
ARR0024540,14/06/2026,MANDI035,Sugarcane,HD-2967,38.59,
ARR0012558,2026-08-21,MANDI034,Cotton,Premium,,7.0
ARR0013252,2026/07/30,MANDI003,Cotton,HD-2967,-2.1771000000000003,93.0
ARR0012739,2026-07-30,MANDI045,Rice,,-388.99,
ARR0024633,03-13-2026,MANDI011,Rice,PBW-343,,23.0
ARR0016432,02-19-2026,MANDI027,Cotton,Premium,480.16,128.0
ARR0001973,01-08-2026,MANDI040,Mustard,PBW-343,435.59,115.0
ARR0019423,2026-01-31,MANDI039,Mustard,Premium,292.19,148.0
ARR0018095,03-Jun-2026,MANDI017,Rice,HD-2967,,104.0
ARR0002502,2026/06/23,MANDI041,Rice,Premium,123.86,63.0
ARR0020339,31/03/2026,MANDI028,Mustard,PBW-343,10.84,127.0
ARR0007666,31/07/2026,MANDI053,Wheat,,258.79,69.0
ARR0000753,2026-07-11,MANDI008,Wheat,Pusa-1121,481.46,36.0
ARR0009620,07-19-2026,MANDI017,Maize,PBW-343,41.35,33.0
ARR0004038,14/07/2026,MANDI040,Rice,PBW-343,355.78,69.0
ARR0003704,2026/01/01,MANDI010,Cotton,Premium,-0.3457,7.0
ARR0008822,20/06/2026,MANDI043,Mustard,Hybrid,,31.0
ARR0005546,05-Sep-2026,MANDI014,Wheat,PBW-343,,137.0
ARR0014760,20-Jan-2026,MANDI047,Maize,Pusa-1121,407.2,
ARR0008484,04-09-2026,MANDI039,Sugarcane,Pusa-1121,491.69,63.0
ARR0007108,28/02/2026,MANDI055,Maize,PBW-343,225.72,108.0
ARR0000675,02.07.2026,MANDI050,Cotton,HD-2967,176.92,12.0
ARR0005515,2026/02/24,MANDI054,Mustard,,178.87,70.0
ARR0023195,01.05.2026,MANDI036,Mustard,Premium,408.71,136.0
ARR0008616,20/01/2026,MANDI004,Mustard,Local,155.42,147.0
ARR0011388,08/06/2026,MANDI016,Mustard,Pusa-1121,,40.0
ARR0009854,06/02/2026,MANDI011,Maize,HD-2967,,136.0
ARR0024014,21-Apr-2026,MANDI017,Sugarcane,Hybrid,171.5,73.0
ARR0006483,2026-04-29,MANDI034,Sugarcane,,189.87,93.0
ARR0020999,2026-08-29,MANDI013,Cotton,Pusa-1121,,73.0
ARR0003190,09-Aug-2026,MANDI027,Mustard,,447.07,109.0
ARR0013399,2026-04-05,MANDI045,Wheat,Premium,415.6,43.0
ARR0018530,2026-08-31,MANDI008,Cotton,,,108.0
ARR0005184,2026-02-11,MANDI026,Wheat,Local,10.57,
ARR0023040,19.02.2026,MANDI038,Cotton,PBW-343,355.5,18.0
ARR0010762,2026-03-07,MANDI038,Cotton,Pusa-1121,296.79,140.0
ARR0022839,07-06-2026,MANDI024,Wheat,Premium,-322.05,59.0
ARR0000200,26.03.2026,MANDI031,Wheat,,370.63,117.0
ARR0018054,03/02/2026,MANDI021,Cotton,,71.58,126.0
ARR0021355,07/01/2026,MANDI053,Sugarcane,Local,348.56,8.0
ARR0009384,12/05/2026,MANDI038,Rice,Premium,,141.0
ARR0008050,04-27-2026,MANDI022,Wheat,,229.36,107.0
ARR0016904,26/08/2026,MANDI021,Cotton,Pusa-1121,,149.0
ARR0021340,2026-03-10,MANDI021,Wheat,HD-2967,133.21,77.0
ARR0013462,05-27-2026,MANDI035,Mustard,Local,488.38,102.0
ARR0013518,2026/08/03,MANDI024,Wheat,Local,32.26,22.0
ARR0022679,2026/06/22,MANDI022,Rice,Premium,310.12,
ARR0021328,2026-06-17,MANDI011,Rice,HD-2967,302.91,87.0
ARR0002215,21/06/2026,MANDI018,Mustard,PBW-343,,14.0
ARR0021259,2026-03-07,MANDI036,Wheat,Pusa-1121,201.02,130.0
ARR0008961,2026-06-03,MANDI004,Mustard,Hybrid,269.64,19.0
ARR0012533,2026-08-28,MANDI015,Mustard,Local,164.03,36.0
ARR0005019,16.07.2026,MANDI048,Mustard,Local,103.01,66.0
ARR0021299,23.07.2026,MANDI050,Mustard,Premium,,113.0
ARR0014712,2026/02/24,MANDI041,Wheat,PBW-343,22.49,63.0
ARR0018335,01-29-2026,MANDI028,Maize,Pusa-1121,227.28000000000003,20.0
ARR0006137,04/06/2026,MANDI048,Maize,PBW-343,231.48,47.0
,19.05.2026,MANDI023,Sugarcane,PBW-343,412.94,128.0
ARR0021669,06-20-2026,MANDI012,Maize,Hybrid,463.53,137.0
ARR0003712,07-02-2026,MANDI057,Wheat,Premium,257.08,
ARR0001924,06.06.2026,MANDI054,Rice,HD-2967,440.88,
ARR0002791,2026/02/06,MANDI055,Mustard,PBW-343,211.28,47.0
ARR0023382,2026-04-03,MANDI013,Wheat,Premium,18.55,74.0
ARR0024128,2026-03-24,MANDI027,Maize,HD-2967,,64.0
ARR0006109,15/07/2026,MANDI039,Rice,Local,,115.0
ARR0012814,07/05/2026,MANDI024,Sugarcane,Hybrid,349.75,7.0
ARR0005571,28/08/2026,MANDI053,Wheat,,496.4,115.0
ARR0020401,2026/08/13,MANDI021,Mustard,Local,244.85,71.0
ARR0011080,14.01.2026,MANDI030,Rice,PBW-343,-240.18,141.0
ARR0016547,26/06/2026,MANDI040,Sugarcane,,357.81,46.0
ARR0017342,2026-08-08,MANDI012,Rice,Pusa-1121,436.14,83.0
ARR0022098,2026-04-16,MANDI048,Rice,Hybrid,11.55,72.0
ARR0021088,02.06.2026,MANDI041,Mustard,,152.13,40.0
ARR0003046,2026-08-05,MANDI012,Cotton,Pusa-1121,498.07,97.0
ARR0015533,06-26-2026,MANDI055,Maize,Pusa-1121,463.12,
ARR0020782,2026-06-01,MANDI021,Rice,HD-2967,230.67,76.0
ARR0008024,2026-01-11,MANDI029,Rice,Local,,16.0
ARR0006965,2026-02-09,MANDI015,Rice,Premium,406.41,149.0
ARR0002409,11.06.2026,MANDI001,Cotton,Local,195.69,38.0
ARR0006420,08/06/2026,MANDI023,Rice,Local,260.7,96.0
ARR0007794,2026/06/06,MANDI012,Maize,,,147.0
ARR0016831,23.07.2026,MANDI009,Rice,Local,223.59000000000003,71.0
ARR0024611,27/03/2026,MANDI053,Mustard,HD-2967,20.31,45.0
ARR0012843,01-Mar-2026,MANDI042,Rice,Pusa-1121,379.43,128.0
ARR0002056,2026/04/18,MANDI048,Sugarcane,Premium,279.57,103.0
ARR0020089,2026-07-07,MANDI041,Mustard,PBW-343,-362.66,51.0
ARR0011027,20-May-2026,MANDI024,Maize,Premium,446.81,71.0
ARR0015396,20.05.2026,MANDI051,Sugarcane,PBW-343,,86.0
ARR0007269,2026-01-21,MANDI053,Maize,Premium,218.99,146.0
ARR0014557,07-25-2026,MANDI047,Sugarcane,Local,56.54,65.0
ARR0022876,08-13-2026,MANDI052,Maize,PBW-343,375.15,83.0
ARR0003097,03/02/2026,MANDI018,Mustard,PBW-343,156.85,12.0
ARR0004700,2026-07-20,MANDI052,Sugarcane,PBW-343,279.66,13.0
ARR0022023,31/08/2026,MANDI014,Mustard,Local,491.42,72.0
ARR0008608,04/08/2026,MANDI014,Rice,Pusa-1121,403.87,115.0
ARR0021026,19/07/2026,MANDI018,Rice,HD-2967,418.54,147.0
ARR0008158,2026-05-08,MANDI010,Rice,PBW-343,254.12,47.0
ARR0004933,2026/05/22,MANDI019,Wheat,PBW-343,131.99,47.0
ARR0010220,2026/04/14,MANDI011,Maize,HD-2967,181.15,11.0
ARR0017103,14-Mar-2026,MANDI042,Rice,Local,,121.0
ARR0005077,2026-05-16,MANDI030,Maize,Hybrid,407.56,118.0
ARR0006915,2026-06-29,MANDI017,Mustard,PBW-343,75.22,115.0
ARR0022385,06.08.2026,MANDI026,Mustard,PBW-343,31.8,63.0
ARR0009730,2026/08/28,MANDI047,Rice,PBW-343,157.97,47.0
ARR0005100,2026/05/16,MANDI051,Maize,Premium,350.32,87.0
ARR0021334,27.01.2026,MANDI053,Maize,Premium,,71.0
ARR0007338,2026-03-17,MANDI048,Rice,Local,209.82,
ARR0016170,24-Jun-2026,MANDI032,Rice,HD-2967,,
ARR0013792,2026/04/01,MANDI049,Rice,PBW-343,59.51,145.0
ARR0007917,2026/09/06,MANDI007,Sugarcane,Hybrid,29.35,130.0
ARR0007919,27-Jul-2026,MANDI023,Wheat,Local,416.68,139.0
ARR0016589,10/02/2026,MANDI009,Rice,Premium,492.8,44.0
ARR0022064,2026/08/06,MANDI004,Sugarcane,PBW-343,,138.0
ARR0013197,2026/05/07,MANDI006,Maize,Hybrid,294.27,
ARR0012899,15/03/2026,MANDI029,Rice,Pusa-1121,-3.4837,127.0
ARR0024644,2026-05-04,MANDI009,Mustard,Pusa-1121,174.81,64.0
ARR0022381,02-04-2026,MANDI001,Maize,Hybrid,-2.2044,121.0
ARR0024611,27/03/2026,MANDI053,Mustard,HD-2967,20.31,45.0
ARR0009914,2026-04-07,MANDI020,Wheat,Premium,-491.65,18.0
ARR0005461,2026/05/11,MANDI002,Cotton,,184.97,74.0
ARR0002436,24.06.2026,MANDI009,Mustard,Pusa-1121,,92.0
ARR0009151,07-05-2026,MANDI045,Wheat,HD-2967,280.64,25.0
ARR0011489,2026/03/14,MANDI047,Maize,Local,,125.0
ARR0021080,22/03/2026,MANDI030,Cotton,Local,301.81,77.0
ARR0007827,04-23-2026,MANDI004,Wheat,Local,,16.0
ARR0016426,2026/01/07,MANDI030,Rice,Pusa-1121,264.58,55.0
ARR0004346,02/06/2026,MANDI008,Cotton,Premium,214.42,133.0
ARR0022927,12-Jan-2026,MANDI037,Mustard,Pusa-1121,146.35,
ARR0011833,06-Aug-2026,MANDI034,Mustard,Local,330.86,
ARR0005654,21.02.2026,MANDI017,Wheat,,,
ARR0023895,01-15-2026,MANDI057,Maize,Local,421.22,14.0
ARR0015493,03-28-2026,MANDI028,Mustard,,,145.0
ARR0024282,2026/03/13,MANDI015,Mustard,Hybrid,314.65,100.0
ARR0009721,22/04/2026,MANDI021,Cotton,Hybrid,189.73,
ARR0010629,04.01.2026,MANDI054,Mustard,HD-2967,174.98,59.0
ARR0013298,2026/06/14,MANDI049,Rice,Local,,6.0
ARR0000284,22-Jun-2026,MANDI016,Wheat,Pusa-1121,278.17,
ARR0004654,07-Jan-2026,MANDI028,Rice,Local,72.06,114.0
ARR0006036,2026/04/30,MANDI007,Maize,Pusa-1121,284.89,140.0
ARR0013682,2026/04/26,MANDI033,Rice,HD-2967,329.87,84.0
ARR0011616,22-Jun-2026,MANDI020,Sugarcane,PBW-343,,
ARR0001511,21/03/2026,MANDI015,Sugarcane,Local,327.86,145.0
